user_id,user_type,onboarding_rating,biggest_confusion,feature_request,would_recommend
survey_user_0039,家庭用户,3,不确定哪首歌适合我的音域,新手推荐歌单,No
survey_user_0040,年轻用户,3,盯着歌单不知道选什么,新手推荐歌单,Yes
survey_user_0041,年轻用户,3,"没有引导,不知道从哪里开始",新手引导教程,Maybe
survey_user_0042,年轻用户,4,操作太复杂,更好的帮助文档,Maybe
survey_user_0043,年轻用户,4,需要适合我音域的歌曲推荐,智能歌曲推荐,Maybe
survey_user_0044,年轻用户,4,盯着歌单不知道选什么,新手推荐歌单,No
survey_user_0045,音乐爱好者,4,空白的界面让我不知所措,新手引导教程,Yes
survey_user_0046,年轻用户,4,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,Maybe
survey_user_0047,家庭用户,4,"没有引导,不知道从哪里开始",新手引导教程,Yes
survey_user_0048,年轻用户,4,需要一些歌曲推荐,智能歌曲推荐,No
survey_user_0049,年轻用户,2,需要适合我音域的歌曲推荐,智能歌曲推荐,Yes
survey_user_0050,家庭用户,3,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,No
survey_user_0051,家庭用户,3,"界面功能太多,找不到入口",新手引导教程,Yes
survey_user_0052,年轻用户,3,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0053,年轻用户,4,想看看别人都在唱什么,智能歌曲推荐,Yes
survey_user_0054,年轻用户,3,不确定哪首歌适合我的音域,新手推荐歌单,Maybe
survey_user_0055,音乐爱好者,4,操作太复杂,更好的帮助文档,Maybe
survey_user_0056,家庭用户,3,"太多功能,不知道先用哪个",新手引导教程,Maybe
survey_user_0057,年轻用户,3,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,Yes
survey_user_0058,家庭用户,3,找不到我想要的功能,更好的帮助文档,No
survey_user_0059,年轻用户,3,想看看别人都在唱什么,智能歌曲推荐,Maybe
survey_user_0060,家庭用户,3,不确定哪首歌适合我的音域,新手推荐歌单,Maybe
survey_user_0061,年轻用户,2,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,Maybe
survey_user_0062,年轻用户,4,"没有引导,不知道从哪里开始",新手引导教程,Maybe
survey_user_0063,年轻用户,2,找不到适合自己的歌,新手推荐歌单,Maybe
survey_user_0064,年轻用户,3,希望有新手推荐歌单,智能歌曲推荐,Yes
survey_user_0065,年轻用户,3,盯着歌单不知道选什么,新手推荐歌单,Maybe
survey_user_0066,家庭用户,4,导航不够清晰,更好的帮助文档,Maybe
survey_user_0067,年轻用户,2,需要一些歌曲推荐,智能歌曲推荐,Yes
survey_user_0068,家庭用户,3,不知道该选什么歌唱,新手推荐歌单,Yes
survey_user_0069,年轻用户,2,想看看别人都在唱什么,智能歌曲推荐,No
survey_user_0070,年轻用户,3,想看看别人都在唱什么,智能歌曲推荐,Yes
survey_user_0071,音乐爱好者,2,"太多功能,不知道先用哪个",新手引导教程,Yes
survey_user_0072,年轻用户,2,作为新手感觉很迷茫,新手引导教程,Yes
survey_user_0073,家庭用户,4,导航不够清晰,更好的帮助文档,Maybe
survey_user_0074,家庭用户,2,"没有引导,不知道从哪里开始",新手引导教程,Yes
survey_user_0075,家庭用户,3,空白的界面让我不知所措,新手引导教程,No
survey_user_0076,年轻用户,2,盯着歌单不知道选什么,新手推荐歌单,No
survey_user_0077,年轻用户,3,盯着歌单不知道选什么,新手推荐歌单,Maybe
survey_user_0078,年轻用户,4,想看看别人都在唱什么,智能歌曲推荐,Maybe
survey_user_0079,家庭用户,3,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0080,年轻用户,4,想看看别人都在唱什么,智能歌曲推荐,No
survey_user_0081,家庭用户,4,操作太复杂,更好的帮助文档,Maybe
survey_user_0082,年轻用户,3,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0083,年轻用户,4,需要适合我音域的歌曲推荐,智能歌曲推荐,Maybe
survey_user_0084,家庭用户,2,"界面功能太多,找不到入口",新手引导教程,Yes
survey_user_0085,年轻用户,2,不确定哪首歌适合我的音域,新手推荐歌单,No
survey_user_0086,家庭用户,4,找不到我想要的功能,更好的帮助文档,Maybe
survey_user_0087,年轻用户,2,"太多功能,不知道先用哪个",新手引导教程,Maybe
survey_user_0088,家庭用户,3,"界面功能太多,找不到入口",新手引导教程,No
survey_user_0089,年轻用户,4,需要适合我音域的歌曲推荐,智能歌曲推荐,No
survey_user_0090,年轻用户,4,想看看别人都在唱什么,智能歌曲推荐,No
survey_user_0091,年轻用户,4,"没有引导,不知道从哪里开始",新手引导教程,No
survey_user_0092,年轻用户,4,不知道该选什么歌唱,新手推荐歌单,No
survey_user_0093,音乐爱好者,2,找不到适合自己的歌,新手推荐歌单,Maybe
survey_user_0094,年轻用户,3,"太多功能,不知道先用哪个",新手引导教程,Yes
survey_user_0095,年轻用户,3,"太多功能,不知道先用哪个",新手引导教程,No
survey_user_0096,家庭用户,2,"界面功能太多,找不到入口",新手引导教程,Maybe
survey_user_0097,年轻用户,4,界面不够直观,更好的帮助文档,Maybe
survey_user_0098,家庭用户,2,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0099,年轻用户,4,需要适合我音域的歌曲推荐,智能歌曲推荐,Yes
survey_user_0100,家庭用户,2,盯着歌单不知道选什么,新手推荐歌单,Maybe
survey_user_0101,年轻用户,2,空白的界面让我不知所措,新手引导教程,Yes
survey_user_0102,家庭用户,2,导航不够清晰,更好的帮助文档,Maybe
survey_user_0103,年轻用户,4,需要适合我音域的歌曲推荐,智能歌曲推荐,No
survey_user_0104,年轻用户,2,找不到适合自己的歌,新手推荐歌单,Maybe
survey_user_0105,家庭用户,4,找不到我想要的功能,更好的帮助文档,Maybe
survey_user_0106,年轻用户,3,"界面功能太多,找不到入口",新手引导教程,Maybe
survey_user_0107,年轻用户,2,"界面功能太多,找不到入口",新手引导教程,Yes
survey_user_0108,年轻用户,4,不确定哪首歌适合我的音域,新手推荐歌单,Maybe
survey_user_0109,家庭用户,2,需要适合我音域的歌曲推荐,智能歌曲推荐,Maybe
survey_user_0110,音乐爱好者,3,"界面功能太多,找不到入口",新手引导教程,Yes
survey_user_0111,年轻用户,4,"歌库太大,不知道从哪里开始",新手推荐歌单,Yes
survey_user_0112,年轻用户,3,"歌库太大,不知道从哪里开始",新手推荐歌单,No
survey_user_0113,年轻用户,4,和我预期的不一样,更好的帮助文档,Maybe
survey_user_0114,年轻用户,4,盯着歌单不知道选什么,新手推荐歌单,No
survey_user_0115,音乐爱好者,4,导航不够清晰,更好的帮助文档,Maybe
survey_user_0116,年轻用户,4,不确定哪首歌适合我的音域,新手推荐歌单,No
survey_user_0117,家庭用户,4,不确定哪首歌适合我的音域,新手推荐歌单,Maybe
survey_user_0118,年轻用户,3,作为新手感觉很迷茫,新手引导教程,No
survey_user_0119,年轻用户,4,不知道该选什么歌唱,新手推荐歌单,Yes
survey_user_0120,音乐爱好者,3,"没有引导,不知道从哪里开始",新手引导教程,Maybe
survey_user_0121,年轻用户,3,"太多功能,不知道先用哪个",新手引导教程,Maybe
survey_user_0122,年轻用户,3,找不到适合自己的歌,新手推荐歌单,No
survey_user_0123,家庭用户,2,操作太复杂,更好的帮助文档,Maybe
survey_user_0124,年轻用户,4,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0125,年轻用户,4,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,Yes
survey_user_0126,年轻用户,3,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0127,年轻用户,3,想看看别人都在唱什么,智能歌曲推荐,Yes
survey_user_0128,音乐爱好者,3,"太多功能,不知道先用哪个",新手引导教程,Maybe
survey_user_0129,家庭用户,4,希望有新手推荐歌单,智能歌曲推荐,Yes
survey_user_0130,年轻用户,4,空白的界面让我不知所措,新手引导教程,No
survey_user_0131,家庭用户,2,不知道该选什么歌唱,新手推荐歌单,Yes
survey_user_0132,年轻用户,4,需要一些歌曲推荐,智能歌曲推荐,Maybe
survey_user_0133,年轻用户,2,想看看别人都在唱什么,智能歌曲推荐,Yes
survey_user_0134,家庭用户,4,不确定哪首歌适合我的音域,新手推荐歌单,Yes
survey_user_0135,年轻用户,4,想看看别人都在唱什么,智能歌曲推荐,Maybe
survey_user_0136,年轻用户,2,"太多功能,不知道先用哪个",新手引导教程,No
survey_user_0137,音乐爱好者,2,"没有引导,不知道从哪里开始",新手引导教程,Maybe
survey_user_0138,家庭用户,2,需要适合我音域的歌曲推荐,智能歌曲推荐,Maybe
survey_user_0139,音乐爱好者,4,"没有引导,不知道从哪里开始",新手引导教程,Maybe
survey_user_0140,年轻用户,4,空白的界面让我不知所措,新手引导教程,No
survey_user_0141,年轻用户,3,不确定哪首歌适合我的音域,新手推荐歌单,No
survey_user_0142,家庭用户,3,导航不够清晰,更好的帮助文档,Yes
survey_user_0143,家庭用户,4,需要一些歌曲推荐,智能歌曲推荐,No
survey_user_0144,年轻用户,3,"界面功能太多,找不到入口",新手引导教程,Maybe
survey_user_0145,年轻用户,4,盯着歌单不知道选什么,新手推荐歌单,No
survey_user_0146,年轻用户,2,空白的界面让我不知所措,新手引导教程,Maybe
survey_user_0147,家庭用户,2,界面不够直观,更好的帮助文档,Maybe
survey_user_0148,年轻用户,4,找不到适合自己的歌,新手推荐歌单,Maybe
survey_user_0149,年轻用户,4,需要一些歌曲推荐,智能歌曲推荐,Maybe
survey_user_0150,年轻用户,3,需要一些歌曲推荐,智能歌曲推荐,Yes
survey_user_0151,音乐爱好者,3,想看看别人都在唱什么,智能歌曲推荐,Yes
survey_user_0152,年轻用户,3,需要适合我音域的歌曲推荐,智能歌曲推荐,Maybe
survey_user_0153,家庭用户,4,空白的界面让我不知所措,新手引导教程,Maybe
survey_user_0154,家庭用户,3,导航不够清晰,更好的帮助文档,Maybe
survey_user_0155,年轻用户,4,"没有引导,不知道从哪里开始",新手引导教程,Yes
survey_user_0156,年轻用户,3,不知道该选什么歌唱,新手推荐歌单,Yes
survey_user_0157,年轻用户,2,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0158,年轻用户,3,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,No
survey_user_0159,年轻用户,4,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0160,家庭用户,3,找不到适合自己的歌,新手推荐歌单,No
survey_user_0161,家庭用户,4,"没有引导,不知道从哪里开始",新手引导教程,Maybe
survey_user_0162,家庭用户,3,盯着歌单不知道选什么,新手推荐歌单,Maybe
survey_user_0163,年轻用户,3,找不到适合自己的歌,新手推荐歌单,Yes
survey_user_0164,年轻用户,3,作为新手感觉很迷茫,新手引导教程,Maybe
survey_user_0165,家庭用户,2,"界面功能太多,找不到入口",新手引导教程,Yes
survey_user_0166,年轻用户,3,找不到适合自己的歌,新手推荐歌单,Yes
survey_user_0167,家庭用户,3,想看看别人都在唱什么,智能歌曲推荐,Maybe
survey_user_0168,年轻用户,3,希望有新手推荐歌单,智能歌曲推荐,Maybe
survey_user_0169,年轻用户,3,盯着歌单不知道选什么,新手推荐歌单,Yes
survey_user_0170,音乐爱好者,3,操作太复杂,更好的帮助文档,Maybe
survey_user_0171,家庭用户,4,需要一些歌曲推荐,智能歌曲推荐,Maybe
survey_user_0172,年轻用户,2,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,Yes
survey_user_0173,音乐爱好者,4,盯着歌单不知道选什么,新手推荐歌单,No
survey_user_0174,家庭用户,4,界面不够直观,更好的帮助文档,Yes
survey_user_0175,年轻用户,4,盯着歌单不知道选什么,新手推荐歌单,Maybe
survey_user_0176,家庭用户,3,导航不够清晰,更好的帮助文档,Yes
survey_user_0177,年轻用户,4,需要适合我音域的歌曲推荐,智能歌曲推荐,No
survey_user_0178,家庭用户,4,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,No
survey_user_0179,年轻用户,2,盯着歌单不知道选什么,新手推荐歌单,No
survey_user_0180,年轻用户,3,需要适合我音域的歌曲推荐,智能歌曲推荐,Yes
survey_user_0181,年轻用户,4,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0182,年轻用户,4,不确定哪首歌适合我的音域,新手推荐歌单,Maybe
survey_user_0183,年轻用户,3,不知道该选什么歌唱,新手推荐歌单,Yes
survey_user_0184,音乐爱好者,3,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0185,年轻用户,3,"界面功能太多,找不到入口",新手引导教程,Maybe
survey_user_0186,年轻用户,3,需要适合我音域的歌曲推荐,智能歌曲推荐,No
survey_user_0187,年轻用户,2,空白的界面让我不知所措,新手引导教程,Maybe
survey_user_0188,家庭用户,4,"没有引导,不知道从哪里开始",新手引导教程,Maybe
survey_user_0189,年轻用户,4,想看看别人都在唱什么,智能歌曲推荐,Yes
survey_user_0190,音乐爱好者,4,找不到适合自己的歌,新手推荐歌单,Maybe
survey_user_0191,年轻用户,2,需要适合我音域的歌曲推荐,智能歌曲推荐,Maybe
survey_user_0192,年轻用户,4,需要一些歌曲推荐,智能歌曲推荐,Maybe
survey_user_0193,年轻用户,4,空白的界面让我不知所措,新手引导教程,No
survey_user_0194,家庭用户,3,作为新手感觉很迷茫,新手引导教程,Maybe
survey_user_0195,年轻用户,4,找不到适合自己的歌,新手推荐歌单,Maybe
survey_user_0196,年轻用户,2,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,Maybe
survey_user_0197,年轻用户,4,希望有新手推荐歌单,智能歌曲推荐,Maybe
survey_user_0198,音乐爱好者,3,"没有引导,不知道从哪里开始",新手引导教程,No
survey_user_0199,年轻用户,4,盯着歌单不知道选什么,新手推荐歌单,Maybe
survey_user_0200,年轻用户,4,"歌库太大,不知道从哪里开始",新手推荐歌单,Yes
survey_user_0201,年轻用户,4,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,Maybe
survey_user_0202,年轻用户,2,希望有新手推荐歌单,智能歌曲推荐,Maybe
survey_user_0203,家庭用户,2,作为新手感觉很迷茫,新手引导教程,Yes
survey_user_0204,年轻用户,4,"界面功能太多,找不到入口",新手引导教程,Yes
survey_user_0205,年轻用户,3,需要适合我音域的歌曲推荐,智能歌曲推荐,Maybe
survey_user_0206,年轻用户,3,"歌库太大,不知道从哪里开始",新手推荐歌单,No
survey_user_0207,年轻用户,3,希望有新手推荐歌单,智能歌曲推荐,Yes
survey_user_0208,年轻用户,3,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0209,年轻用户,4,"太多功能,不知道先用哪个",新手引导教程,Maybe
survey_user_0210,音乐爱好者,3,"歌库太大,不知道从哪里开始",新手推荐歌单,No
survey_user_0211,年轻用户,3,不知道该选什么歌唱,新手推荐歌单,No
survey_user_0212,家庭用户,4,不确定哪首歌适合我的音域,新手推荐歌单,Maybe
survey_user_0213,家庭用户,2,"太多功能,不知道先用哪个",新手引导教程,Maybe
survey_user_0214,家庭用户,4,导航不够清晰,更好的帮助文档,Maybe
survey_user_0215,年轻用户,3,希望有新手推荐歌单,智能歌曲推荐,Maybe
survey_user_0216,年轻用户,4,不确定哪首歌适合我的音域,新手推荐歌单,No
survey_user_0217,年轻用户,2,"太多功能,不知道先用哪个",新手引导教程,Maybe
survey_user_0218,家庭用户,2,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0219,家庭用户,3,界面不够直观,更好的帮助文档,Maybe
survey_user_0220,年轻用户,3,找不到适合自己的歌,新手推荐歌单,Yes
survey_user_0221,年轻用户,3,空白的界面让我不知所措,新手引导教程,Maybe
survey_user_0222,家庭用户,3,界面不够直观,更好的帮助文档,Maybe
survey_user_0223,年轻用户,4,空白的界面让我不知所措,新手引导教程,Yes
survey_user_0224,家庭用户,4,空白的界面让我不知所措,新手引导教程,Yes
survey_user_0225,年轻用户,3,希望有新手推荐歌单,智能歌曲推荐,Maybe
survey_user_0226,年轻用户,4,不确定哪首歌适合我的音域,新手推荐歌单,Maybe
survey_user_0227,年轻用户,4,想看看别人都在唱什么,智能歌曲推荐,No
survey_user_0228,年轻用户,2,需要适合我音域的歌曲推荐,智能歌曲推荐,No
survey_user_0229,音乐爱好者,2,找不到适合自己的歌,新手推荐歌单,Yes
survey_user_0230,年轻用户,4,希望有新手推荐歌单,智能歌曲推荐,Maybe
survey_user_0231,年轻用户,2,作为新手感觉很迷茫,新手引导教程,Maybe
survey_user_0232,年轻用户,2,"歌库太大,不知道从哪里开始",新手推荐歌单,Yes
survey_user_0233,家庭用户,3,找不到我想要的功能,更好的帮助文档,No
survey_user_0234,家庭用户,2,找不到适合自己的歌,新手推荐歌单,Maybe
survey_user_0235,年轻用户,2,需要适合我音域的歌曲推荐,智能歌曲推荐,No
survey_user_0236,家庭用户,4,界面不够直观,更好的帮助文档,Maybe
survey_user_0237,年轻用户,4,不知道该选什么歌唱,新手推荐歌单,No
survey_user_0238,年轻用户,2,盯着歌单不知道选什么,新手推荐歌单,Yes
survey_user_0239,家庭用户,4,找不到我想要的功能,更好的帮助文档,Maybe
survey_user_0240,年轻用户,4,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,Maybe
survey_user_0241,年轻用户,3,希望有新手推荐歌单,智能歌曲推荐,Yes
survey_user_0242,家庭用户,2,不知道该选什么歌唱,新手推荐歌单,No
survey_user_0243,年轻用户,3,找不到适合自己的歌,新手推荐歌单,Maybe
survey_user_0244,年轻用户,4,希望有新手推荐歌单,智能歌曲推荐,Maybe
survey_user_0245,家庭用户,2,作为新手感觉很迷茫,新手引导教程,Maybe
survey_user_0246,家庭用户,2,需要一些歌曲推荐,智能歌曲推荐,Yes
survey_user_0247,年轻用户,2,不确定哪首歌适合我的音域,新手推荐歌单,No
survey_user_0248,音乐爱好者,3,找不到我想要的功能,更好的帮助文档,Yes
survey_user_0249,年轻用户,2,需要适合我音域的歌曲推荐,智能歌曲推荐,No
survey_user_0250,年轻用户,2,"歌库太大,不知道从哪里开始",新手推荐歌单,No
survey_user_0251,音乐爱好者,4,想看看别人都在唱什么,智能歌曲推荐,Yes
survey_user_0252,年轻用户,4,不确定哪首歌适合我的音域,新手推荐歌单,Maybe
survey_user_0253,年轻用户,2,不确定哪首歌适合我的音域,新手推荐歌单,Maybe
survey_user_0254,年轻用户,3,不知道该选什么歌唱,新手推荐歌单,Yes
survey_user_0255,家庭用户,2,导航不够清晰,更好的帮助文档,No
survey_user_0256,音乐爱好者,4,不确定哪首歌适合我的音域,新手推荐歌单,No
survey_user_0257,年轻用户,2,希望有新手推荐歌单,智能歌曲推荐,No
survey_user_0258,家庭用户,3,找不到我想要的功能,更好的帮助文档,Maybe
survey_user_0259,年轻用户,2,作为新手感觉很迷茫,新手引导教程,Maybe
survey_user_0260,年轻用户,4,作为新手感觉很迷茫,新手引导教程,No
survey_user_0261,家庭用户,3,找不到适合自己的歌,新手推荐歌单,No
survey_user_0262,年轻用户,3,导航不够清晰,更好的帮助文档,Yes
survey_user_0263,年轻用户,2,不确定哪首歌适合我的音域,新手推荐歌单,Maybe
survey_user_0264,年轻用户,4,"界面功能太多,找不到入口",新手引导教程,No
survey_user_0265,年轻用户,2,需要一些歌曲推荐,智能歌曲推荐,Maybe
survey_user_0266,年轻用户,2,"歌库太大,不知道从哪里开始",新手推荐歌单,No
survey_user_0267,年轻用户,2,"太多功能,不知道先用哪个",新手引导教程,Maybe
survey_user_0268,年轻用户,3,作为新手感觉很迷茫,新手引导教程,No
survey_user_0269,年轻用户,2,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0270,家庭用户,2,界面不够直观,更好的帮助文档,Yes
survey_user_0271,家庭用户,3,操作太复杂,更好的帮助文档,No
survey_user_0272,年轻用户,3,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0273,家庭用户,4,盯着歌单不知道选什么,新手推荐歌单,Yes
survey_user_0274,音乐爱好者,2,和我预期的不一样,更好的帮助文档,Maybe
survey_user_0275,年轻用户,4,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0276,家庭用户,3,空白的界面让我不知所措,新手引导教程,No
survey_user_0277,家庭用户,2,想看看别人都在唱什么,智能歌曲推荐,Maybe
survey_user_0278,年轻用户,2,找不到适合自己的歌,新手推荐歌单,Maybe
survey_user_0279,家庭用户,4,"歌库太大,不知道从哪里开始",新手推荐歌单,Yes
survey_user_0280,家庭用户,4,需要一些歌曲推荐,智能歌曲推荐,No
survey_user_0281,年轻用户,2,需要适合我音域的歌曲推荐,智能歌曲推荐,No
survey_user_0282,年轻用户,3,找不到我想要的功能,更好的帮助文档,Maybe
survey_user_0283,家庭用户,4,界面不够直观,更好的帮助文档,Maybe
survey_user_0284,年轻用户,2,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0285,家庭用户,2,"没有引导,不知道从哪里开始",新手引导教程,Maybe
survey_user_0286,年轻用户,4,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0287,音乐爱好者,3,盯着歌单不知道选什么,新手推荐歌单,Maybe
survey_user_0288,家庭用户,4,盯着歌单不知道选什么,新手推荐歌单,No
survey_user_0289,年轻用户,2,"没有引导,不知道从哪里开始",新手引导教程,Maybe
survey_user_0290,音乐爱好者,4,需要一些歌曲推荐,智能歌曲推荐,Maybe
survey_user_0291,年轻用户,3,导航不够清晰,更好的帮助文档,Yes
survey_user_0292,年轻用户,3,需要一些歌曲推荐,智能歌曲推荐,No
survey_user_0293,家庭用户,2,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0294,年轻用户,4,作为新手感觉很迷茫,新手引导教程,No
survey_user_0295,年轻用户,2,不知道该选什么歌唱,新手推荐歌单,No
survey_user_0296,年轻用户,2,希望有新手推荐歌单,智能歌曲推荐,Maybe
survey_user_0297,年轻用户,2,空白的界面让我不知所措,新手引导教程,Yes
survey_user_0298,家庭用户,3,需要一些歌曲推荐,智能歌曲推荐,Yes
survey_user_0299,年轻用户,3,"歌库太大,不知道从哪里开始",新手推荐歌单,Maybe
survey_user_0300,年轻用户,4,不确定哪首歌适合我的音域,新手推荐歌单,Maybe
survey_user_0301,家庭用户,3,"界面功能太多,找不到入口",新手引导教程,No
survey_user_0302,年轻用户,2,找不到适合自己的歌,新手推荐歌单,Maybe
survey_user_0303,家庭用户,3,导航不够清晰,更好的帮助文档,Maybe
survey_user_0304,年轻用户,4,作为新手感觉很迷茫,新手引导教程,Maybe
survey_user_0305,年轻用户,4,盯着歌单不知道选什么,新手推荐歌单,Maybe
survey_user_0306,年轻用户,2,作为新手感觉很迷茫,新手引导教程,Yes
survey_user_0307,年轻用户,2,"没有引导,不知道从哪里开始",新手引导教程,No
survey_user_0308,年轻用户,4,不确定哪首歌适合我的音域,新手推荐歌单,No
survey_user_0309,家庭用户,3,和我预期的不一样,更好的帮助文档,Maybe
survey_user_0310,音乐爱好者,2,找不到我想要的功能,更好的帮助文档,Maybe
survey_user_0311,年轻用户,4,作为新手感觉很迷茫,新手引导教程,No
survey_user_0312,家庭用户,4,希望APP能根据我的嗓音推荐歌,智能歌曲推荐,Maybe
survey_user_0313,年轻用户,4,找不到适合自己的歌,新手推荐歌单,Maybe
survey_user_0314,年轻用户,2,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0315,年轻用户,4,想看看别人都在唱什么,智能歌曲推荐,Maybe
survey_user_0316,家庭用户,3,希望有新手推荐歌单,智能歌曲推荐,No
survey_user_0317,年轻用户,2,希望有新手推荐歌单,智能歌曲推荐,Maybe
survey_user_0318,音乐爱好者,4,需要适合我音域的歌曲推荐,智能歌曲推荐,No
survey_user_0319,年轻用户,4,"歌库太大,不知道从哪里开始",新手推荐歌单,Yes
survey_user_0320,家庭用户,2,操作太复杂,更好的帮助文档,Maybe
survey_user_0321,年轻用户,3,希望有新手推荐歌单,智能歌曲推荐,Maybe
survey_user_0322,家庭用户,4,希望有新手推荐歌单,智能歌曲推荐,No
survey_user_0323,音乐爱好者,4,界面不够直观,更好的帮助文档,No
survey_user_0324,年轻用户,2,不确定哪首歌适合我的音域,新手推荐歌单,No
survey_user_0325,音乐爱好者,2,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0326,音乐爱好者,4,不知道该选什么歌唱,新手推荐歌单,Maybe
survey_user_0327,年轻用户,4,"歌库太大,不知道从哪里开始",新手推荐歌单,No
survey_user_0328,年轻用户,2,空白的界面让我不知所措,新手引导教程,Yes
survey_user_0329,年轻用户,3,"歌库太大,不知道从哪里开始",新手推荐歌单,Yes
survey_user_0330,家庭用户,2,需要适合我音域的歌曲推荐,智能歌曲推荐,Yes
